quest_id,name,condition_start,condition_complete,chapter_name
4000,이동 해보자,5010,5011,1장. 시골 개와 도시 개
4001,고양이들한테 말 걸어보자,5011,5021,1장. 시골 개와 도시 개
4002,마을로 들어가보자,5021,5025,1장. 시골 개와 도시 개
4003,마을 내부를 탐색하자,5025,5039,1장. 시골 개와 도시 개
4004,바우를 따라가보자,5039,5043,1장. 시골 개와 도시 개
4005,상자를 밀어 길을 만들어 보자,5043,5046,1장. 시골 개와 도시 개
4006,상자를 밀어서 구멍에 넣어 보자,5046,5049,1장. 시골 개와 도시 개
4007,다시 바우를 따라가보자,5049,5064,1장. 시골 개와 도시 개
4008,덕팔이의 공을 되찾아주자,5064,5073,1장. 시골 개와 도시 개
4009,덕팔이한테 돌아가자,5073,5083,1장. 시골 개와 도시 개
4010,마을을 나가자,5083,5084,1장. 시골 개와 도시 개
4011,다시 고양이들한테 말 걸어보자,5084,5103,1장. 시골 개와 도시 개
4012,길 건너편의 트럭으로 가자,5103,5106,1장. 시골 개와 도시 개
4013,트럭을 탑승하자,5106,5109,1장. 시골 개와 도시 개
4014,소신있게 행동하자,5124,5128,1장. 시골 개와 도시 개
